cano_smiles
C1CCC2=C(N=C(CCOC3=CC=C4N(C(C5=CC=CC=C5)CC(=O)O)C=CC4=C3)C=C2)N1
C1CCC2=C(N=C(CCOC3=CC=C4N(C(C5=CC(CN(C)C)=CN=C5)CC(=O)O)C=CC4=C3)C=C2)N1
C1=CC=CC(C(N2CN(C(C)C)C(=O)C3=C(O)C(=O)C=CN23)C2=CC=CC=C2)=C1
C1=CC=CC(C(N2CN(CCOC)C(=O)C3=C(O)C(=O)C=CN23)C2=CC=CC=C2)=C1
